SEED #1
RD: 	 FIELD(4402), 	 VALUE(20)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fc80000), O_VALUE(ffff88803fc00000)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(2000008fb), O_VALUE(1000008fb)
EXIT REASON: MSR_WRITE

SEED #11
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(1), O_VALUE(1)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(2), O_VALUE(2)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fca9a90), O_VALUE(ffff88803fca9a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc900003e7db8), O_VALUE(ffffc90000433b98)
REG: 	 FIELD(R11), 	 I_VALUE(26f43b0392), O_VALUE(26de442f4f)
REG: 	 FIELD(R12), 	 I_VALUE(ffff8880059261c0), O_VALUE(ffff8880359d1080)
REG: 	 FIELD(R13), 	 I_VALUE(ffff8880059268ac), O_VALUE(ffff8880359d176c)
REG: 	 FIELD(R14), 	 I_VALUE(1), O_VALUE(1)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fc80000), O_VALUE(ffff88803fc80000)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(2000008fb), O_VALUE(2000008fb)
EXIT REASON: MSR_WRITE

SEED #12
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(0), O_VALUE(1)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
